,geo_2,Country,Year,GDP_VALUE,Indicator,Unit_2,primary_energy_consumption,POP_VALUE,Unit_pop,Age class,Sex,GDP_capita,Energy_Intensity,Energy_per_capita
46,IT,Italy,2006,1675746.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2221.86376953125,58288996,Number,Total,Total,0.028748940880710998,0.0013258946023001743,3.8118065535581536e-05
47,FR,France,2006,1956671.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3128.9306640625,63229635,Number,Total,Total,0.030945475171571053,0.001599109152305924,4.9485192569315005e-05
48,FR,France,2007,2006184.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3075.78955078125,63645065,Number,Total,Total,0.03152144317866593,0.0015331540331470293,4.83272277399866e-05
49,IT,Italy,2007,1700251.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2175.280029296875,58510725,Number,Total,Total,0.029058795631057382,0.001279387439512982,3.717745813774953e-05
50,ES,Spain,2007,1109756.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1828.4080810546875,44784666,Number,Total,Total,0.02477982977477157,0.001647576063588989,4.0826654396723365e-05
51,DE,Germany,2007,2635442.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3893.42333984375,82314906,Number,Total,Total,0.032016590045064255,0.0014773318682196872,4.729912878529862e-05
52,ES,Spain,2008,1118270.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1774.5941162109375,45668939,Number,Total,Total,0.024486445809481144,0.001586910241901274,3.885779164282615e-05
53,DE,Germany,2008,2658842.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3934.666259765625,82217837,Number,Total,Total,0.032339002058640876,0.0014798416287588063,4.7856601478893504e-05
54,IT,Italy,2008,1682855.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2150.093994140625,59001769,Number,Total,Total,0.028522116006386183,0.0012776463871496408,3.644117846942225e-05
55,FR,France,2008,2013811.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3084.8447265625,64007193,Number,Total,Total,0.03146226549881667,0.0015318439848671522,4.8195282154655646e-05
56,FR,France,2009,1956930.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2908.910400390625,64350226,Number,Total,Total,0.030410617361312765,0.0014864661749495421,4.520435406692472e-05
57,IT,Italy,2009,1593577.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1994.809814453125,59420592,Number,Total,Total,0.026818601874582466,0.0012517810962990215,3.357101885577184e-05
58,DE,Germany,2009,2511421.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3692.17822265625,82002356,Number,Total,Total,0.03062621517850048,0.001470154564500575,4.502527003804927e-05
59,ES,Spain,2009,1076132.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1652.0989990234375,46239273,Number,Total,Total,0.023273118935066305,0.001535219513499725,3.5729346329113726e-05
60,ES,Spain,2010,1077145.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1692.3475341796875,46486619,Number,Total,Total,0.023171076390821194,0.001571141800017349,3.640504666901432e-05
61,DE,Germany,2010,2615260.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3847.1513671875,81802257,Number,Total,Total,0.03197051152268329,0.0014710397311118205,4.702989267383539e-05
62,IT,Italy,2010,1617944.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2062.27001953125,59690316,Number,Total,Total,0.02710564809206237,0.0012746233042027024,3.4549490733660214e-05
